epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,162.078,1.00389,0.62119,1.01939,0.83114,1,0.95847,0.6311,1.04436,0.61546,1.06069,0.0011882,0.0011882,0.0011882
43,165.85,0.94945,0.57889,0.98274,0.89394,0.96338,0.96317,0.66411,1.02886,0.56369,1.05515,0.0011684,0.0011684,0.0011684
44,169.815,0.94956,0.58739,1.00029,0.98085,0.8,0.94685,0.6442,1.11015,0.61616,1.12168,0.0011486,0.0011486,0.0011486
45,173.557,0.98043,0.57808,0.99592,0.78578,0.97143,0.92508,0.61437,1.05306,0.62103,1.08523,0.0011288,0.0011288,0.0011288
46,177.234,0.94516,0.55934,0.99608,0.82869,0.96753,0.94526,0.64407,1.13214,0.63954,1.09051,0.001109,0.001109,0.001109
47,180.906,0.96054,0.57213,0.9939,0.83255,0.99446,0.97064,0.6781,1.06966,0.60894,1.07103,0.0010892,0.0010892,0.0010892
48,184.793,0.94638,0.57351,0.98401,0.79787,0.97143,0.94952,0.65142,1.01977,0.58697,1.04339,0.0010694,0.0010694,0.0010694
49,188.486,0.97003,0.58274,0.9966,0.85621,0.88571,0.94115,0.65473,1.04741,0.62861,1.04395,0.0010496,0.0010496,0.0010496
50,192.253,0.94512,0.53456,0.98389,0.83396,0.94286,0.94179,0.66034,1.0204,0.68439,1.04224,0.0010298,0.0010298,0.0010298
51,195.873,0.93203,0.56517,0.97993,0.82598,0.97143,0.95121,0.64808,1.056,0.64806,1.07354,0.00101,0.00101,0.00101
52,199.491,0.9352,0.55942,0.97017,0.83348,0.94286,0.9461,0.62762,1.07137,0.72206,1.05412,0.0009902,0.0009902,0.0009902
53,203.33,0.93366,0.5556,0.98057,0.85946,0.94286,0.94789,0.6462,1.02826,0.65307,1.04226,0.0009704,0.0009704,0.0009704
54,207.137,0.89584,0.53264,0.98289,0.88114,0.94286,0.96476,0.64361,1.05084,0.61205,1.05547,0.0009506,0.0009506,0.0009506
55,210.742,0.92155,0.54904,0.97087,0.87823,0.88571,0.95029,0.63296,1.17172,0.65669,1.15051,0.0009308,0.0009308,0.0009308
56,214.491,0.87309,0.55832,0.96162,0.85275,0.88571,0.95912,0.63514,1.2319,0.59976,1.17795,0.000911,0.000911,0.000911
57,218.164,0.92826,0.56585,0.97701,0.96738,0.84761,0.96477,0.6563,1.22656,0.56784,1.17938,0.0008912,0.0008912,0.0008912
58,222.025,0.92192,0.54397,0.98869,0.83803,0.94286,0.95946,0.65352,1.069,0.60095,1.08385,0.0008714,0.0008714,0.0008714
59,225.765,0.91183,0.53549,0.94488,0.82438,0.93893,0.94781,0.61013,1.08306,0.66292,1.07222,0.0008516,0.0008516,0.0008516
60,229.49,0.9267,0.5362,0.97303,0.91412,0.91241,0.95965,0.66531,1.04679,0.63554,1.04943,0.0008318,0.0008318,0.0008318
61,233.233,0.94567,0.5312,0.96483,0.82466,1,0.95682,0.59721,1.17313,0.70279,1.1369,0.000812,0.000812,0.000812
62,236.921,0.91598,0.52641,0.96324,0.88087,1,0.95612,0.6681,1.12977,0.63069,1.0978,0.0007922,0.0007922,0.0007922
63,240.607,0.89417,0.51751,0.96515,0.86386,0.97143,0.9492,0.64406,1.09382,0.77035,1.07593,0.0007724,0.0007724,0.0007724
64,244.379,0.90386,0.51601,0.94785,0.83167,0.98829,0.96551,0.65442,1.11567,0.61568,1.10367,0.0007526,0.0007526,0.0007526
65,248.025,0.86508,0.50226,0.95471,0.84546,0.94286,0.95789,0.65462,1.15758,0.61604,1.10823,0.0007328,0.0007328,0.0007328
66,251.954,0.89932,0.52135,0.95662,0.777,0.88571,0.91174,0.61853,1.09552,0.78057,1.12525,0.000713,0.000713,0.000713
67,255.676,0.87448,0.49803,0.96802,0.79288,0.97143,0.92419,0.6242,1.06225,0.66941,1.09531,0.0006932,0.0006932,0.0006932
68,259.398,0.87516,0.52309,0.95665,0.77954,0.97143,0.92179,0.6517,1.10177,0.763,1.10026,0.0006734,0.0006734,0.0006734
69,263.135,0.84176,0.4921,0.96501,0.84969,0.96912,0.9405,0.66071,1.15384,0.71808,1.1246,0.0006536,0.0006536,0.0006536
70,267.076,0.88006,0.51563,0.95862,0.88486,0.87845,0.94505,0.65267,1.17604,0.65448,1.11322,0.0006338,0.0006338,0.0006338
71,270.964,0.85022,0.51094,0.94901,0.86877,0.97143,0.92794,0.60886,1.20933,0.64235,1.1341,0.000614,0.000614,0.000614
72,274.775,0.85175,0.49656,0.95784,0.95875,0.71429,0.92001,0.63271,1.19085,0.76953,1.1113,0.0005942,0.0005942,0.0005942
73,278.482,0.87055,0.50908,0.9409,0.83332,0.85706,0.93768,0.61077,1.25912,0.69195,1.174,0.0005744,0.0005744,0.0005744
74,282.207,0.86744,0.50225,0.95483,0.8426,0.91429,0.95342,0.63752,1.26143,0.64827,1.18875,0.0005546,0.0005546,0.0005546
75,285.868,0.84525,0.48662,0.94597,0.91562,0.82857,0.95981,0.67216,1.21482,0.62119,1.15888,0.0005348,0.0005348,0.0005348
76,289.801,0.84858,0.48749,0.94393,0.85689,0.85541,0.94129,0.66155,1.08416,0.69332,1.07105,0.000515,0.000515,0.000515
77,293.457,0.82335,0.49139,0.93833,0.85427,0.85714,0.93793,0.65832,1.0457,0.71736,1.07865,0.0004952,0.0004952,0.0004952
78,297.018,0.83878,0.47039,0.93913,0.83776,0.88523,0.92238,0.63129,1.11094,0.74655,1.06979,0.0004754,0.0004754,0.0004754
79,300.669,0.82166,0.47752,0.94141,0.83182,0.88571,0.92997,0.64554,1.19564,0.76824,1.09603,0.0004556,0.0004556,0.0004556
80,304.379,0.80764,0.47419,0.9368,0.85804,0.88571,0.95057,0.63813,1.20201,0.69156,1.12363,0.0004358,0.0004358,0.0004358
81,308.026,0.79828,0.4777,0.93303,0.86676,0.94286,0.95499,0.66926,1.14321,0.63724,1.09012,0.000416,0.000416,0.000416
82,311.691,0.80438,0.49499,0.93949,0.85124,0.9811,0.95522,0.64548,1.17928,0.64884,1.12537,0.0003962,0.0003962,0.0003962
83,315.446,0.79841,0.47142,0.92268,0.86804,0.94286,0.94796,0.66188,1.15792,0.63453,1.10829,0.0003764,0.0003764,0.0003764
84,319.185,0.82182,0.46306,0.93369,0.84915,0.96515,0.94934,0.66396,1.15595,0.62104,1.13273,0.0003566,0.0003566,0.0003566
85,322.766,0.79811,0.44988,0.94979,0.84505,0.93507,0.94884,0.6412,1.13053,0.62568,1.11665,0.0003368,0.0003368,0.0003368
86,326.577,0.802,0.46273,0.93701,0.84444,0.93077,0.95839,0.66699,1.08955,0.60505,1.09317,0.000317,0.000317,0.000317
87,330.321,0.77861,0.45627,0.9253,0.83214,0.99162,0.95898,0.65647,1.12231,0.57263,1.11977,0.0002972,0.0002972,0.0002972
88,334.124,0.80547,0.44904,0.93017,0.86717,0.93278,0.95257,0.65062,1.13888,0.60232,1.11703,0.0002774,0.0002774,0.0002774
89,337.759,0.79538,0.45778,0.92139,0.89084,0.93285,0.95557,0.6694,1.14477,0.57497,1.11695,0.0002576,0.0002576,0.0002576
90,341.522,0.79487,0.45278,0.93481,0.86964,0.95321,0.96352,0.66417,1.18715,0.58283,1.16152,0.0002378,0.0002378,0.0002378
91,372.115,0.79175,0.4653,0.94701,0.83233,0.99295,0.96225,0.65564,1.16887,0.59967,1.16042,0.000218,0.000218,0.000218
92,375.762,0.78692,0.45262,0.9384,0.82899,0.96955,0.95584,0.65688,1.16872,0.61097,1.16214,0.0001982,0.0001982,0.0001982
93,379.509,0.80261,0.43909,0.9482,0.82818,0.97143,0.9531,0.65028,1.19974,0.61637,1.18679,0.0001784,0.0001784,0.0001784
94,383.22,0.76063,0.42546,0.92079,0.79378,0.94286,0.94921,0.6502,1.18158,0.6417,1.1576,0.0001586,0.0001586,0.0001586
95,386.856,0.71798,0.40068,0.91194,0.80023,0.94286,0.94303,0.64204,1.17155,0.65984,1.13543,0.0001388,0.0001388,0.0001388
96,390.57,0.7439,0.413,0.9278,0.8127,0.91429,0.94665,0.6308,1.1682,0.65651,1.14042,0.000119,0.000119,0.000119
97,394.122,0.76016,0.42354,0.95338,0.8354,0.94286,0.95401,0.64804,1.14664,0.64786,1.1255,9.92e-05,9.92e-05,9.92e-05
98,397.95,0.77215,0.40673,0.93539,0.80952,0.94286,0.95385,0.64771,1.14804,0.60636,1.12258,7.94e-05,7.94e-05,7.94e-05
99,401.611,0.73792,0.40949,0.93118,0.80666,0.95385,0.95114,0.65165,1.15655,0.61023,1.13147,5.96e-05,5.96e-05,5.96e-05
100,405.349,0.74247,0.40174,0.9211,0.80442,0.97143,0.95249,0.64849,1.17047,0.61436,1.14072,3.98e-05,3.98e-05,3.98e-05
